min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),IdentityTag,8activity
-1.6547,3.4816,-10.4812,4.9349,19.1647,-1.1573,0.961057683,8.316942,-4.375831,1.964254441,13.05094955,6.379616298,1.401518619,3.612609798,2.525790232,0.405809658,1.343923461,-0.689173928,3.06129766,4.530837382,2.222355913,1.05495,7.48305,-3.43605,0.00651675,1.6759,6.0061,9.52705,-6.4859,-2.2086,-0.148637282,-0.315023256,-0.480740809,9,9,7,576,16431,5099,0.5859375,228.3950415,1.5625,861.6282015,1.3671875,829.7675886,112,7
-1.5827,3.4922,-13.1971,4.3286,22.9539,-1.0092,0.963963869,8.891141,-4.802016,1.684210992,24.69523485,9.846093555,1.297771548,4.969430032,3.137848555,0.462710419,1.147401371,-0.534120802,2.565700591,3.190742697,2.13407642,0.85566,6.98585,-3.92425,-0.029531,1.60515,5.317,11.3414,-7.6884,-1.78225,0.304908825,-0.325828374,-0.541296231,7,11,5,521,20725,6571,0.390625,114.1470416,1.171875,2022.01015,1.171875,1449.186204,112,7
-1.1345,4.1944,-10.2189,3.7659,15.3288,-1.0985,0.938922051,8.6378395,-4.1919025,0.952666573,5.005276184,6.439595813,0.976046399,2.237247457,2.537635871,0.367315431,1.062974226,-0.762776966,3.510332884,4.321433745,2.413623334,0.835665,8.3519,-3.54535,0.382855,1.48705,7.2649,9.14375,-5.6567,-1.95855,0.216518124,0.040710134,0.097291671,12,11,5,366,15919,4796,0.78125,51.28584509,1.171875,268.6561849,1.171875,757.1551668,112,7
-1.3785,4.8353,-9.7829,3.6375,15.2704,-1.5048,0.653258397,8.6506275,-3.803863,1.370861076,8.225106837,4.110714496,1.170837767,2.867944706,2.027489703,0.430244695,0.886303857,-0.954310839,2.630383521,2.52774521,2.950424532,0.60374,7.77025,-3.19645,-0.216335,1.47845,6.4791,10.1516,-5.1456,-2.16795,-0.010677926,-0.25639234,-0.721480503,7,9,8,358,16603,3712,0.78125,99.4287538,1.5625,1153.482675,1.5625,597.5035547,112,7
-1.7844,4.157,-9.62,3.0856,16.2235,-1.2996,0.392381626,9.3381225,-4.0380865,1.394597039,10.35766578,4.856138473,1.180930582,3.218332763,2.203664782,0.586263309,0.505785998,-0.718253821,2.468768117,2.038712995,2.402876147,0.00982275,8.27995,-3.531,-0.52703,1.1867,6.78475,12.04045,-5.60975,-2.10625,0.227294044,-0.278036369,-0.651083601,10,11,9,308,19501,4228,0.9765625,110.8501532,1.7578125,1563.385702,1.7578125,752.5830856,112,7
-1.3926,4.5894,-12.2174,5.4568,16.0647,-1.0707,1.146737465,8.4429875,-3.768754,1.504805704,7.074284262,6.619398003,1.226705223,2.659752669,2.572819077,1.158052294,1.408411101,-1.641925596,5.406930424,4.373620609,5.122738273,0.934665,7.8486,-2.7659,0.49786,1.5429,6.65955,9.06735,-4.7495,-2.0083,0.322998641,-0.085490355,-0.097657332,14,11,7,562,15665,4158,0.78125,69.1388848,1.171875,581.0258096,1.171875,643.1395021,112,7
-1.2626,4.9421,-9.6724,3.7294,16.1724,-0.97823,0.533398755,9.2494285,-4.36078765,1.404366321,9.717031027,5.599671075,1.185059628,3.117215268,2.366362414,0.772233107,0.522163698,-0.561329851,2.832220966,1.97664121,2.074451944,0.0455475,8.16265,-3.8536,-0.383895,1.36175,6.5041,12.0563,-6.19345,-2.1665,0.272873692,-0.218373693,-0.559306557,6,10,7,336,19044,4918,0.78125,141.1137917,1.5625,1307.262435,1.7578125,897.7532637,112,7
-1.2822,4.3546,-10.1909,3.1616,15.4204,-1.2512,0.517303642,8.7601305,-3.966237,1.405326666,8.679723526,4.773935205,1.185464747,2.946137052,2.184933684,0.199243139,0.770476421,-0.808318658,1.952631708,2.506853804,2.717935488,0.5954,8.02735,-3.2639,-0.64581,1.51925,6.6795,10.45395,-5.28865,-2.0889,0.192182262,-0.141779715,-0.678251107,11,13,7,333,17075,4096,0.78125,152.8669778,1.7578125,1260.293657,1.7578125,726.3415504,112,7
-0.66792,3.2772,-12.0453,4.6597,18.3122,-1.1973,1.040156921,8.481136,-4.491292,1.475120097,9.175680625,7.871185445,1.214545222,3.029138595,2.805563303,1.060558868,1.068016268,-0.92235689,3.679317235,3.552460721,2.878739423,0.75629,7.7188,-3.56195,0.0152507,1.72465,6.2686,9.6222,-6.401,-2.2049,0.29956697,-0.328539663,-0.167189326,13,8,7,510,16212,5601,0.5859375,66.12761273,1.3671875,764.0470448,1.171875,988.3174951,112,7
-1.2164,4.9284,-10.1581,4.9203,15.5205,-1.3872,0.79930481,9.0222715,-4.3022995,1.854733193,6.906766128,5.038659814,1.361885896,2.628072702,2.244695929,0.733283012,0.89678768,-0.68427029,3.221131048,2.964138536,2.366985268,0.727125,8.44845,-3.694,-0.42992,1.6235,7.1204,9.96385,-5.8315,-2.3636,0.204767297,-0.116632445,-0.499911679,11,14,8,497,17655,4705,0.78125,116.3615477,1.5625,746.2367035,1.5625,727.8753482,112,7
-1.3996,5.0189,-10.1547,2.7493,15.9533,-0.63057,0.333606465,8.6864265,-3.6290911,1.122484865,8.636969484,4.612702559,1.059473862,2.938872145,2.147720317,0.354211675,0.899562449,-1.043738686,1.929962875,2.583220432,3.453051951,0.34,7.7961,-3.0873,-0.59297,1.20975,6.45535,10.49975,-4.7311,-2.11705,0.01551258,-0.10682418,-0.713645904,5,11,9,246,16810,3552,0.9765625,143.6389123,1.7578125,1327.242824,1.7578125,687.3555918,112,7
-1.4514,4.1353,-10.9454,4.1948,16.6684,-1.4274,0.69985781,8.713922,-4.683961,1.683670388,9.323759346,6.544339952,1.29756325,3.05348315,2.558190758,0.55675875,0.866933262,-0.679480351,2.747451383,2.580425998,2.427998868,0.728115,7.52805,-3.9022,-0.48079,1.34865,6.55015,11.26505,-6.6852,-2.506,0.317147651,-0.17949448,-0.331623624,12,16,8,433,17042,5690,0.5859375,121.9131517,1.5625,1069.451703,1.3671875,765.2926517,112,7
-0.59845,4.9885,-10.002,3.9239,17.0206,-0.84587,1.00529627,8.9760585,-4.01465135,1.430559394,6.595058632,4.978627694,1.196059946,2.568084623,2.231283867,0.441688656,0.968844204,-1.087493396,2.084792402,3.529756732,3.339168882,0.821125,8.48665,-3.30675,-0.110505,2.02405,7.32535,9.73095,-4.9114,-2.2598,0.185724881,-0.240467505,-0.381003221,7,14,8,487,17426,4214,0.78125,153.1505436,1.5625,612.5281122,1.5625,568.0044586,112,7
-1.6443,4.4753,-10.4712,3.1405,15.5606,-1.1302,0.310659868,8.9830855,-4.033787,1.150251997,11.62913082,5.289856122,1.072498017,3.410151143,2.299968722,0.215986743,0.372067947,-0.705427906,2.346403825,1.774583431,2.437019313,0.38749,8.21705,-3.4281,-0.534285,1.06545,5.9134,12.5741,-5.66635,-1.9266,0.206380241,-0.095648745,-0.76546972,8,9,11,248,18453,4307,0.9765625,105.8304091,1.7578125,2002.066743,1.7578125,903.700117,112,7
-1.461,4.0782,-12.2607,5.4298,15.2181,-1.0412,1.0081812,8.7495325,-4.3626885,1.637364017,8.871340486,8.011039798,1.279595255,2.978479559,2.830378031,0.552981101,0.573542568,-1.071093661,3.740696789,2.137825169,3.12051116,1.04495,7.8789,-3.30375,-0.120435,1.7202,6.20775,11.2063,-5.8337,-2.11895,0.26767414,-0.37181584,-0.524133697,16,11,6,529,17076,5401,0.5859375,123.8580183,1.5625,1242.886764,1.5625,1036.44902,112,7
-1.1153,3.8652,-12.0531,3.918,15.3587,-1.5003,0.982463595,8.39984,-4.4943495,1.045091101,5.515295195,6.548456549,1.022296973,2.348466562,2.558995223,0.100990184,0.943536309,-0.957280907,3.128556775,3.864449954,2.983080675,0.99364,8.0471,-3.7929,0.45228,1.6167,6.9779,9.1653,-6.3179,-2.3349,0.353823826,0.24845636,0.071191281,11,10,5,401,15209,5343,0.5859375,108.0218696,1.171875,317.3063832,1.171875,702.2489137,112,7
-1.8188,5.4557,-8.8284,3.196,15.3399,-1.3301,0.631406113,8.825431,-3.896162,1.573364035,6.690219574,3.807033509,1.254338086,2.586545877,1.951162092,0.312947816,0.986277683,-0.876501043,2.097164994,2.73713187,2.832018275,0.62166,8.00405,-3.4141,-0.411055,1.4636,6.7979,10.3044,-4.8331,-2.3443,0.076341751,-0.329481103,-0.689667386,6,12,10,393,16909,3794,0.78125,149.5685801,1.5625,1000.087009,1.5625,605.0102223,112,7
-2.2626,4.8518,-9.1721,2.8731,14.3918,-1.2615,0.240323432,8.810198,-3.8143565,1.648725095,7.322743731,4.237632769,1.284026906,2.70605686,2.058551133,0.145505722,0.651406575,-0.7811111,1.979602668,2.242504164,2.577787842,0.182815,8.1224,-3.329,-0.82817,1.26495,6.7917,10.6756,-5.3173,-2.04895,0.176136952,-0.02714551,-0.682006317,7,12,6,340,16981,3753,0.78125,175.3470912,1.5625,1083.25891,1.5625,716.9958947,112,7
-0.73804,4.8753,-10.7839,5.1762,17.3164,-0.88724,1.189461155,9.0078885,-3.977662,1.193095085,8.91042165,6.66076576,1.09228892,2.98503294,2.580845939,1.067239082,1.135523912,-1.075196424,4.355874885,3.288954525,3.390583147,1.00845,8.1617,-3.3696,0.40552,1.6221,6.8125,10.20355,-5.2288,-1.82865,0.350958877,-0.331049519,-0.225319319,10,9,9,520,18002,4490,1.953125,75.12133233,1.171875,798.8439685,1.171875,820.72574,112,7
-1.7937,4.6884,-10.7166,5.0902,16.5199,-1.026,0.643131095,8.94019,-4.0065255,2.069224602,8.585940724,5.931278813,1.438479962,2.930177593,2.435421691,0.600344002,0.82782232,-0.954408536,3.266160454,2.744660745,2.774815098,0.712905,8.32495,-3.1334,-0.487355,1.6743,6.78865,10.4495,-5.64835,-2.1094,0.268944069,-0.109314257,-0.530633416,10,14,9,494,17694,4391,0.78125,212.8391598,1.5625,1070.420346,1.7578125,773.6892258,112,7
-1.9364,5.1854,-9.4936,3.5672,15.1801,-1.1928,0.358898334,8.889993333,-3.988985,1.867756492,8.165906727,4.951949957,1.366658879,2.857605068,2.225297723,0.328046345,0.518998985,-0.922460062,2.21744431,1.997381355,2.833016497,0.50109,8.22375,-3.38935,-0.866525,1.4121,6.34475,11.0927,-5.4681,-2.0431,0.116839093,-0.212004575,-0.691029151,4,6,6,238,10456,2499,0.78125,122.6864136,1.7578125,797.4528298,1.7578125,475.5126245,112,7
-1.2733,4.2495,-12.615,3.9589,16.5,-1.0774,1.09093555,8.7645805,-3.756075,1.439564147,8.445545914,6.907059325,1.199818381,2.906122144,2.628128483,0.580161641,0.817844169,-1.429197078,2.850805241,2.760607532,4.585393812,0.81916,8.27575,-3.2078,0.32878,1.64315,6.3271,10.12775,-4.7576,-1.63645,0.223342649,-0.296739732,-0.33492133,17,11,6,525,17044,4196,2.1484375,68.6684939,1.5625,918.7600479,1.3671875,764.3337647,112,7
-1.4,4.0825,-10.2535,3.9205,15.9453,-0.92433,0.724992945,9.4311005,-3.93010815,1.637147584,7.474176841,4.872932475,1.279510681,2.73389408,2.207471965,0.258197062,0.150923865,-0.859398979,2.511633617,2.238577616,2.849692219,0.884235,9.2411,-3.2994,-0.480185,1.5375,7.57685,11.5657,-5.1788,-2.15315,0.184023328,-0.452098953,-0.413484462,14,9,11,431,19276,4059,0.9765625,150.9034283,1.7578125,988.7251929,1.953125,712.2171174,112,7
-1.5231,4.081,-9.5996,2.9979,16.0375,-0.87867,0.33242609,8.86497,-3.46164655,1.013372536,11.04900098,4.38383504,1.006664063,3.324003758,2.09376098,0.321459234,0.547816285,-1.044503854,2.517623781,2.198866354,3.19612995,0.234465,8.528,-2.87255,-0.51323,1.17865,5.8382,11.18095,-4.4729,-1.7263,-0.014195206,0.049944137,-0.662019804,13,11,12,224,17916,3269,0.78125,84.79285781,1.7578125,1675.411586,1.7578125,595.0545126,112,7
-1.1086,4.3974,-11.9871,3.2773,16.5471,-0.063893,0.759672832,8.8631035,-3.791870915,1.138875498,10.20566811,8.412449105,1.067181099,3.194631138,2.900422229,0.270582671,0.70841115,-1.024435365,2.28955552,2.451682236,3.1092178,0.6159,8.15635,-2.6587,-0.035161,1.52765,6.20665,11.0983,-5.6033,-1.63845,0.010829015,-0.20585243,-0.358185994,17,8,6,342,17742,4550,0.5859375,88.50459944,1.5625,1215.204571,1.3671875,820.5929285,112,7
-1.5503,6.0881,-9.2339,3.5202,15.5224,0.073029,0.32733273,9.528771,-3.2936753,1.143788233,5.560279948,4.305567551,1.069480357,2.358024586,2.074986157,0.82927534,0.920236563,-0.480072947,3.37237088,2.923595714,2.185149553,0.131955,8.7336,-3.0581,-0.45856,0.92764,7.9015,10.84925,-4.92825,-1.40055,0.26422669,-0.450406319,-0.323904553,16,14,6,249,19266,3026,1.7578125,58.15451404,1.5625,724.1112256,1.5625,542.6567681,112,7
-1.9747,3.8698,-11.0099,4.2866,15.3916,-0.81939,0.757117475,8.462785,-4.34984235,2.240976728,8.7183747,5.830224562,1.496989221,2.952689401,2.414585795,0.24817771,0.523876897,-0.764403848,2.292337214,2.302736534,2.710005278,0.717425,8.1264,-3.62175,-0.381095,1.7677,6.00435,10.4549,-6.02405,-2.43535,-0.005924055,-0.288650251,-0.624757327,9,11,9,561,16059,4944,0.78125,214.2658941,1.7578125,1345.165487,1.953125,855.9917522,112,7
-1.586,4.3075,-9.7614,2.7438,16.1737,-0.72908,0.595515955,9.299451,-4.074108,1.420392995,10.24779152,5.120212842,1.191802414,3.201217193,2.262788731,-0.28095288,0.326974024,-0.67063286,1.90398847,1.973079976,2.545167119,0.860315,8.8362,-3.7247,-0.471715,1.55945,6.41885,12.54605,-5.6107,-2.1432,-0.017223794,-0.127384336,-0.62715942,12,14,11,354,19335,4339,0.9765625,143.9561914,1.7578125,1643.151537,1.7578125,795.4515171,112,7
-1.6779,3.9916,-9.4737,3.1656,16.7501,-1.0326,0.488976625,8.726075,-3.522162,1.267242171,10.19781446,4.780099159,1.125718513,3.193401707,2.186343788,0.30525328,0.621587964,-1.013536407,2.509221718,2.400232286,3.085010838,0.43346,8.04875,-2.92525,-0.41667,1.30085,6.1329,10.94665,-4.49885,-1.7131,0.01723383,-0.195180834,-0.721462086,11,7,9,300,17258,3432,0.9765625,134.4325485,1.7578125,1724.338013,1.7578125,776.7547765,112,7
-1.3308,3.6449,-12.5383,4.0385,17.4557,-0.64515,0.357254726,9.302491,-4.1899326,1.577501925,12.67017917,7.62946129,1.255986435,3.559519514,2.762147949,0.704403269,0.561114461,-0.920411081,2.753357292,2.322217652,3.115538679,0.06085,8.48915,-3.38515,-0.69723,1.1653,6.6819,12.0773,-5.8251,-1.8773,0.228715718,-0.487113661,-0.572192406,10,13,7,339,19829,5029,0.78125,144.3503515,1.5625,1823.811478,1.5625,1104.402657,112,7
-1.6001,4.7641,-10.8581,3.9632,15.3264,-0.72543,0.939218099,8.45,-4.13150575,1.859938509,6.197819793,5.780235431,1.363795626,2.489542085,2.404212019,0.029488488,0.928282074,-0.910939467,2.256756803,3.02567856,3.041689495,0.97085,7.9926,-3.35775,-0.18202,1.92815,6.4569,9.4303,-5.58225,-2.229,-0.214456242,-0.483719226,-0.079788422,6,9,8,547,15514,4564,0.5859375,260.2914868,1.3671875,545.6339262,1.3671875,712.4444865,112,7
-1.5746,3.7957,-9.9087,2.9765,15.3117,-1.3784,0.392744087,9.042593,-4.306211,1.426992321,8.948707853,4.898071395,1.194567839,2.991439094,2.213158692,0.388885255,0.447222226,-0.708148969,2.188742136,2.21345334,2.536663165,0.21715,8.31815,-3.78215,-0.564365,1.2727,6.97935,11.37775,-5.7687,-2.479,0.158910128,-0.303412862,-0.661058625,10,13,8,315,18134,4683,0.9765625,148.8370682,1.7578125,1328.91982,1.7578125,749.7298861,112,7
-1.6759,2.8583,-13.9833,4.3568,21.6411,-0.74655,0.762660845,7.97854,-4.53187415,1.712716922,22.02128734,10.52509582,1.308708112,4.692684449,3.244240407,0.524212928,1.455352802,-0.760597738,3.176496135,4.12354797,2.626893738,0.617945,6.39755,-3.18075,-0.23562,1.4653,4.99415,8.9364,-7.0086,-1.7863,0.232115917,-0.206857339,-0.529162988,12,12,5,457,17114,6202,0.5859375,120.041737,2.5390625,1685.271307,1.171875,1549.076179,112,7
-1.6937,5.7148,-9.8651,4.5855,16.4451,-1.4781,0.828598285,9.221964,-4.02889,1.438503939,4.867132474,4.741308532,1.199376479,2.206157853,2.177454599,0.908199715,1.290557019,-0.984394036,4.355132333,4.378976199,2.870647249,0.653445,8.67485,-3.11395,0.064423,1.37635,7.89775,9.8755,-5.1981,-2.3229,0.214023366,0.208968881,-0.165843979,11,21,8,424,17977,4190,0.5859375,135.3222557,1.3671875,469.3240741,1.3671875,494.6831017,112,7
-2.7875,2.8519,-14.8527,4.187,23.2545,-1.1717,0.251396768,8.0876215,-4.758719,1.545267551,21.93422825,9.685746061,1.24308791,4.68339922,3.112193127,0.494772437,1.503031612,-1.001615056,3.544534405,4.451835124,3.259016799,0.138155,6.73915,-3.53735,-0.58265,0.91607,5.02485,8.61585,-6.96385,-2.22605,0.252193451,-0.244905133,-0.628924804,8,13,9,320,17447,6457,0.5859375,136.069811,1.171875,1289.860407,1.171875,1394.861601,112,7
-0.90435,2.7126,-15.5933,4.5219,21.6128,-1.1459,1.094803381,8.8197645,-4.75624,1.035450817,21.76633138,9.578056907,1.017571038,4.665440105,3.0948436,1.05650607,1.265613466,-0.939656969,4.169986517,3.642727451,3.507509971,0.962525,7.0488,-4.03805,0.383315,1.45645,5.7964,10.92235,-6.926,-1.95025,0.175277922,-0.199567373,-0.538211572,13,16,6,446,19889,6430,2.9296875,61.69552924,2.1484375,1645.546225,0.9765625,1325.229368,112,7
-0.90662,5.0451,-10.2464,5.2377,15.7256,-0.74592,1.149979909,8.8852685,-3.4812542,1.309711617,4.039501117,4.195515624,1.144426327,2.009851019,2.048295785,1.116474578,1.052016353,-1.307115737,5.391227166,4.7036811,4.425060716,1.1428,8.7,-2.91245,0.474345,1.60995,7.7179,9.36305,-4.2685,-2.0751,-0.058640268,-0.489402772,-0.188000876,16,19,10,525,16593,3259,0.78125,80.12451533,1.171875,315.3535352,1.3671875,476.7684235,112,7
-1.918,5.2154,-9.5496,3.1795,14.8336,-1.1296,0.299785615,9.122879,-4.3662445,1.450526687,6.993744674,4.050806957,1.204378133,2.644568901,2.01266166,0.330978061,0.482096787,-0.556193951,2.378070596,2.064469777,2.489704091,0.174535,8.429,-4.11385,-0.6833,1.2555,7.1234,11.48595,-5.7353,-2.70525,0.179210354,-0.180804294,-0.655962908,8,11,7,307,18037,4619,0.9765625,129.2257365,1.7578125,996.7249232,1.7578125,621.6838644,112,7
-2.0143,4.7469,-9.507,3.0708,14.76,-1.3533,0.67389303,8.8960125,-3.871051,1.732153765,6.707631783,3.769770179,1.316113128,2.589909609,1.941589601,-0.300964531,0.586621127,-0.898563665,1.779365907,2.356372256,3.099051351,1.18085,8.0962,-3.522,-0.7631,1.6619,6.97165,10.5693,-5.2398,-2.29085,0.139651274,-0.123770363,-0.636753973,9,16,7,436,17163,3747,0.78125,205.3477534,1.5625,845.5909953,1.5625,465.0433756,112,7
-1.3537,4.4742,-11.2961,4.6494,17.2324,-0.9072,0.830540541,8.677988,-3.5792947,1.973826101,7.572630805,5.65401849,1.404929216,2.751841348,2.37781801,0.846317922,1.101107674,-1.349067511,3.142285607,3.974878425,4.271301114,0.411555,8.3409,-2.7527,-0.208825,1.6688,6.6817,9.31405,-4.4948,-1.8757,-0.269976706,-0.508553444,-0.192421803,10,11,9,531,16568,3687,0.5859375,242.2630103,1.171875,567.720249,1.171875,717.5099152,112,7
-1.3376,4.7458,-9.7321,5.4259,15.573,-1.4214,1.07625091,9.097279,-4.3661705,1.872605409,9.042807743,4.724674466,1.368431734,3.00712616,2.173631631,0.730175188,0.586220353,-0.608460314,3.567217495,2.056084167,2.250328103,0.970025,8.0773,-3.867,0.153885,1.8242,6.77435,11.9143,-5.84615,-2.4752,-0.103104921,-0.312121472,-0.610619547,10,10,8,604,18352,4753,0.78125,94.2583698,1.5625,1231.583777,1.5625,720.3677606,112,7
-1.7696,3.6895,-10.3907,2.9114,15.2234,-1.3034,0.266472417,8.796708,-4.031493,1.277078731,8.052614355,4.512633458,1.130079082,2.837712874,2.124295991,0.53844907,0.697584959,-0.953964805,2.558224644,2.44781476,3.259467691,-0.0613685,7.8958,-3.5126,-0.487285,1.044,6.88655,10.81,-5.2182,-2.43135,0.075922654,-0.193214843,-0.708828653,9,13,9,268,17079,4149,0.78125,132.844117,1.7578125,1170.209185,1.7578125,638.8882209,112,7
-1.0019,4.7945,-12.3013,4.0368,17.2931,-0.88822,0.781053329,8.822923,-3.9099961,1.222150949,9.891572225,7.346560213,1.105509362,3.145086998,2.710453876,0.620438172,0.983963773,-1.087484612,3.193727923,2.9423453,3.287798051,0.67236,7.85125,-2.84055,0.0072184,1.4041,6.4277,10.424,-5.6412,-1.724,-0.089638431,-0.325474222,-0.357533159,9,8,9,365,17537,4520,0.78125,124.7119252,1.3671875,982.0295591,1.171875,830.8609689,112,7
-1.3512,4.4607,-10.6102,5.1712,15.1211,-1.1851,0.602991495,8.7937245,-4.603579,2.087569198,6.35691985,4.955186019,1.444842274,2.521293289,2.226024712,0.858605849,0.65091623,-0.695347954,3.23436813,2.520821738,2.678284879,0.3278,8.2778,-4.22725,-0.60175,1.478,7.07685,10.28755,-6.0385,-2.8592,0.059021915,-0.433827362,-0.521499556,6,16,9,488,16731,5225,0.78125,209.6785694,1.7578125,635.5293813,1.7578125,649.9589742,112,7
